Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2015,5,JetLite,2012,225116.0,79.392,206667.0,1.5859625728162932,3220.0,2015-05-01,May 2015
2015,5,SpiceJet,6836,837236.0,93.093,737036.775,5.898403314799579,8711.0,2015-05-01,May 2015
2015,5,Total Domestic,56190,7097141.0,86.954,6807929.775,50.0,91562.63,2015-05-01,May 2015
2015,5,Vistara,907,93037.0,71.12,96151.0,0.6554540765077093,0.0,2015-05-01,May 2015
2015,6,Air Costa,946,65903.0,79.171,53277.41,0.5016332404351878,1359.0,2015-06-01,Jun 2015
2015,6,Air India,8390,934155.0,73.691,913497.0,7.110498759066094,15099.0,2015-06-01,Jun 2015
2015,6,Air India Express,68,15851.0,85.129,9663.0,0.1206529064555204,121.35,2015-06-01,Jun 2015
2015,6,Air Pegasus,196,9353.0,73.134,4210.4,0.07119214144713155,243.05,2015-06-01,Jun 2015
2015,6,AirAsia India,846,125721.0,83.998,144151.0,0.956949344047346,1413.3,2015-06-01,Jun 2015
2015,6,Alliance Air,938,31659.0,65.277,18470.0,0.24097851021861844,1410.0,2015-06-01,Jun 2015
2015,6,Go First,3827,572147.0,83.581,545826.0,4.355005896776647,7347.13,2015-06-01,Jun 2015
2015,6,IndiGo,17808,2536554.0,86.646,2603141.0,19.307464038948716,31337.16,2015-06-01,Jun 2015
2015,6,Jet Airways,12410,1206583.0,77.684,1044457.0,9.184136384443958,20247.0,2015-06-01,Jun 2015
2015,6,JetLite,1724,186556.0,78.099,172598.0,1.4200065369198198,2813.0,2015-06-01,Jun 2015
2015,6,SpiceJet,6575,800048.0,93.24,684397.023,6.08971777830586,8483.0,2015-06-01,Jun 2015
2015,6,Total Domestic,54710,6568843.0,82.344,6280207.833,50.0,91413.55,2015-06-01,Jun 2015
2015,6,Vistara,982,84313.0,59.266,86520.0,0.6417644629351014,1540.56,2015-06-01,Jun 2015
2015,7,Air Costa,938,68327.0,81.673,55519.0,0.5062915395139626,1356.0,2015-07-01,Jul 2015
2015,7,Air India,8755,1032276.0,78.204,1010073.0,7.648990958820308,15809.0,2015-07-01,Jul 2015
2015,7,Air India Express,11,13999.0,78.159,8506.0,0.1037302276063044,116.0,2015-07-01,Jul 2015
2015,7,Air Pegasus,234,10749.0,71.515,4775.705,0.07964827605830174,272.0,2015-07-01,Jul 2015
