Feature,Importance
MarketShare,0.7803781849220596
Flights,0.07360548353207472
FlightHours,0.0713200174360095
AirlineCode,0.054622467422886706
Month,0.013130126065858694
Quarter,0.003828894784399025
IsPeak,0.003114825836711801
